question,filename,engine,query,title,image_url,source_url,creator,license
"If there is a continuous and a broken white line together, which line do you obey?",webq_19_if-there-is-a-continuous-and-a-broken-white-line-together-which-line-do-you-obey.jpg,commons,Ireland continuous broken white line road marking,"File:Bus Lanes (Malone Road, Belfast) Order (Northern Ireland) 1997 (NISR 1997-211).pdf",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Bus_Lanes_%28Malone_Road%2C_Belfast%29_Order_%28Northern_Ireland%29_1997_%28NISR_1997-211%29.pdf/page1-960px-Bus_Lanes_%28Malone_Road%2C_Belfast%29_Order_%28Northern_Ireland%29_1997_%28NISR_1997-211%29.pdf.jpg,"https://commons.wikimedia.org/wiki/File:Bus_Lanes_(Malone_Road,_Belfast)_Order_(Northern_Ireland)_1997_(NISR_1997-211).pdf",,
What does a broken yellow line along the side of the road mean?,webq_20_what-does-a-broken-yellow-line-along-the-side-of-the-road-mean.jpg,commons,Ireland broken yellow line road marking,File:Broken yellow line road marking on N25 - geograph.org.uk - 1275481.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Broken_yellow_line_road_marking_on_N25_-_geograph.org.uk_-_1275481.jpg,https://commons.wikimedia.org/wiki/File:Broken_yellow_line_road_marking_on_N25_-_geograph.org.uk_-_1275481.jpg,,
What does a single continuous yellow line along the side of the road mean?,webq_21_what-does-a-single-continuous-yellow-line-along-the-side-of-the-road-mean.jpg,commons,Ireland yellow line no parking road marking,"File:Mountjoy Road, Omagh - geograph.org.uk - 724496.jpg",https://upload.wikimedia.org/wikipedia/commons/5/5d/Mountjoy_Road%2C_Omagh_-_geograph.org.uk_-_724496.jpg,"https://commons.wikimedia.org/wiki/File:Mountjoy_Road,_Omagh_-_geograph.org.uk_-_724496.jpg",,
What do double continuous yellow lines at the side of the road mean?,webq_22_what-do-double-continuous-yellow-lines-at-the-side-of-the-road-mean.jpg,commons,Ireland double yellow line road marking,"File:Mountjoy Road, Omagh - geograph.org.uk - 724496.jpg",https://upload.wikimedia.org/wikipedia/commons/5/5d/Mountjoy_Road%2C_Omagh_-_geograph.org.uk_-_724496.jpg,"https://commons.wikimedia.org/wiki/File:Mountjoy_Road,_Omagh_-_geograph.org.uk_-_724496.jpg",,
What do white zig-zag lines at a zebra crossing mean?,webq_23_what-do-white-zig-zag-lines-at-a-zebra-crossing-mean.jpg,openverse,zebra crossing zig zag road,Bournemouth: zebra crossing at the foot of Toft Zig-Zag,https://api.openverse.org/v1/images/14ad8958-d518-4e71-a9bd-a6b2ea56f914/thumb/,https://www.geograph.org.uk/photo/5403761,Chris Downer,by-sa
What are the road markings for no entry?,webq_24_what-are-the-road-markings-for-no-entry.png,commons,Ireland no entry road marking,File:Ireland road sign RUS 014 (HVs).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Ireland_road_sign_RUS_014_%28HVs%29.svg/960px-Ireland_road_sign_RUS_014_%28HVs%29.svg.png,https://commons.wikimedia.org/wiki/File:Ireland_road_sign_RUS_014_(HVs).svg,,
What shape are warning signs in Ireland?,webq_25_what-shape-are-warning-signs-in-ireland.jpg,commons,Irish warning road sign,"File:Bilingual warning sign - Ysgol-School, Greenfield Road, Tenby - geograph.org.uk - 5259470.jpg",https://upload.wikimedia.org/wikipedia/commons/c/c0/Bilingual_warning_sign_-_Ysgol-School%2C_Greenfield_Road%2C_Tenby_-_geograph.org.uk_-_5259470.jpg,"https://commons.wikimedia.org/wiki/File:Bilingual_warning_sign_-_Ysgol-School,_Greenfield_Road,_Tenby_-_geograph.org.uk_-_5259470.jpg",,
What shape are most regulatory signs in Ireland?,webq_26_what-shape-are-most-regulatory-signs-in-ireland.png,commons,Irish regulatory road sign,File:IE road sign RUS-010.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/IE_road_sign_RUS-010.svg/960px-IE_road_sign_RUS-010.svg.png,https://commons.wikimedia.org/wiki/File:IE_road_sign_RUS-010.svg,,
What colour are motorway signs?,webq_27_what-colour-are-motorway-signs.jpg,commons,Ireland motorway sign blue,"File:Sign-1020898, M7, Co. Tipperary, Ireland.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Sign-1020898%2C_M7%2C_Co._Tipperary%2C_Ireland.jpg/960px-Sign-1020898%2C_M7%2C_Co._Tipperary%2C_Ireland.jpg,"https://commons.wikimedia.org/wiki/File:Sign-1020898,_M7,_Co._Tipperary,_Ireland.jpg",,
What colour are national road signs?,webq_28_what-colour-are-national-road-signs.png,commons,Ireland national road sign green,File:IE Town or Village Sign (green).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/IE_Town_or_Village_Sign_%28green%29.svg/960px-IE_Town_or_Village_Sign_%28green%29.svg.png,https://commons.wikimedia.org/wiki/File:IE_Town_or_Village_Sign_(green).svg,,
What colour are regional and local road signs?,webq_29_what-colour-are-regional-and-local-road-signs.jpg,commons,Ireland local road sign white,"File:Sign-1020132, Castleisland, Co. Kerry, Ireland.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Sign-1020132%2C_Castleisland%2C_Co._Kerry%2C_Ireland.jpg/960px-Sign-1020132%2C_Castleisland%2C_Co._Kerry%2C_Ireland.jpg,"https://commons.wikimedia.org/wiki/File:Sign-1020132,_Castleisland,_Co._Kerry,_Ireland.jpg",,
When should you use dipped headlights?,webq_30_when-should-you-use-dipped-headlights.jpg,commons,dipped headlights symbol,File:Traffic Signs for Motorways (1962).pdf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Traffic_Signs_for_Motorways_%281962%29.pdf/page1-500px-Traffic_Signs_for_Motorways_%281962%29.pdf.jpg,https://commons.wikimedia.org/wiki/File:Traffic_Signs_for_Motorways_(1962).pdf,,
What should you do if you are dazzled by headlights?,webq_31_what-should-you-do-if-you-are-dazzled-by-headlights.jpg,openverse,headlights glare night driving,Night bustle,https://api.openverse.org/v1/images/5fe901f9-2603-427e-a2ad-dbede22967dd/thumb/,https://www.flickr.com/photos/8581973@N02/539774365,árticotropical,by
When may you use your horn?,webq_32_when-may-you-use-your-horn.jpg,openverse,car horn symbol,B-Pop Super Pop Red Black Super Girl Hero Comic Cartoon Pee Wee Kids Superhero Bad Girl Costume Toy Outfit Costume Gloves Emblem Hero Logo Boots Suit Cape Halloween Dress Up Cosplay Kawaii Chibi Anime Japanimation Karate Martial Arts Kung Fu Game Suit Mag,https://api.openverse.org/v1/images/35a30600-6e6f-40c7-8c49-4c6ce519e13b/thumb/,https://www.flickr.com/photos/130475615@N06/18234280736,nalends,by-nd
What is the legal minimum tyre tread depth for a car?,webq_33_what-is-the-legal-minimum-tyre-tread-depth-for-a-car.jpg,openverse,tyre tread depth gauge,TyreDepthGauge,https://api.openverse.org/v1/images/6bb545af-b516-4e2b-aaf3-c76e84c6d082/thumb/,https://commons.wikimedia.org/w/index.php?curid=23129833,Simon Speed,cc0
What is the 2-second rule?,webq_34_what-is-the-2-second-rule.jpg,openverse,safe following distance cars road,Slow down keep your distance,https://api.openverse.org/v1/images/3c8ba126-762b-4fb0-a9ac-de5a3a9c978a/thumb/,https://www.flickr.com/photos/55207656@N05/31016932222,TranBC,by-nc-nd
How does wet weather affect braking distance?,webq_35_how-does-wet-weather-affect-braking-distance.jpg,openverse,dangerous driving in the rain tips,dangerous driving in the rain + tips,https://api.openverse.org/v1/images/6a722954-969c-4218-b053-e8cc74aa57ec/thumb/,https://www.flickr.com/photos/73645804@N00/2750711244,woodleywonderworks,by
What is aquaplaning?,webq_36_what-is-aquaplaning.jpg,openverse,wet day driving,wet day driving,https://api.openverse.org/v1/images/19b17275-6200-40d2-9926-581e5fcac862/thumb/,https://www.flickr.com/photos/36894712@N04/3526479593,Creativity103,by
What is tailgating?,webq_37_what-is-tailgating.jpg,openverse,tailgating cars road,Road Rage Study Released Today,https://api.openverse.org/v1/images/904ca883-691c-4efa-b827-758e3145f077/thumb/,https://www.flickr.com/photos/68845396@N00/147909639,Malingering,by-nc-nd
What is coasting and why is it dangerous?,webq_38_what-is-coasting-and-why-is-it-dangerous.jpg,commons,gear stick neutral car,File:Under the Yankee ensign (IA underyankeeensig00barb).pdf,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Under_the_Yankee_ensign_%28IA_underyankeeensig00barb%29.pdf/page1-960px-Under_the_Yankee_ensign_%28IA_underyankeeensig00barb%29.pdf.jpg,https://commons.wikimedia.org/wiki/File:Under_the_Yankee_ensign_(IA_underyankeeensig00barb).pdf,,
"When another driver is overtaking you, what must you not do?",webq_39_when-another-driver-is-overtaking-you-what-must-you-not-do.jpg,openverse,cars overtaking road,Inverness Constabulary motorcycles 1974,https://api.openverse.org/v1/images/d4267599-7228-419f-81d3-5a5032ea8e42/thumb/,https://www.flickr.com/photos/91779914@N00/14496818813,conner395,by
When may you overtake on the left?,webq_40_when-may-you-overtake-on-the-left.jpg,openverse,slow moving traffic two lane road,Slow vehicles must use turnout,https://api.openverse.org/v1/images/f3f5ae7a-d43f-4279-9e02-fcf3713550e3/thumb/,https://www.flickr.com/photos/99247795@N00/12059790043,Richard Masoner / Cyclelicious,by-sa
Give examples of places where you should not overtake.,webq_41_give-examples-of-places-where-you-should-not-overtake.png,commons,overtaking prohibited road sign,File:1977 India road sign 2.13.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/1977_India_road_sign_2.13.svg/960px-1977_India_road_sign_2.13.svg.png,https://commons.wikimedia.org/wiki/File:1977_India_road_sign_2.13.svg,,
How far from a junction should you not park?,webq_42_how-far-from-a-junction-should-you-not-park.jpg,openverse,car parked near junction,"Cars parked on Byrnes Street, Mareeba",https://api.openverse.org/v1/images/b9294de4-3abc-4ff5-80dd-5875bfe4344f/thumb/,https://www.flickr.com/photos/60455048@N02/30546589890,Queensland State Archives,pdm
How far from a pedestrian crossing should you not park?,webq_43_how-far-from-a-pedestrian-crossing-should-you-not-park.jpg,commons,zebra crossing road marking,"File:Road Marking-1130118, Dingle, Co. Kerry, Ireland.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Road_Marking-1130118%2C_Dingle%2C_Co._Kerry%2C_Ireland.jpg/960px-Road_Marking-1130118%2C_Dingle%2C_Co._Kerry%2C_Ireland.jpg,"https://commons.wikimedia.org/wiki/File:Road_Marking-1130118,_Dingle,_Co._Kerry,_Ireland.jpg",,
How close to the kerb should you normally park?,webq_44_how-close-to-the-kerb-should-you-normally-park.jpg,openverse,car parked by kerb,"Car showroom Franklin Street, Adelaide, 1927",https://api.openverse.org/v1/images/4692462f-f580-4fef-b9ee-7011045b36c2/thumb/,https://www.flickr.com/photos/32600408@N06/11721897114,State Library of South Australia,by
When may you use the hard shoulder on a motorway?,webq_45_when-may-you-use-the-hard-shoulder-on-a-motorway.png,commons,motorway hard shoulder,File:M1 hard shoulder w.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/M1_hard_shoulder_w.svg/960px-M1_hard_shoulder_w.svg.png,https://commons.wikimedia.org/wiki/File:M1_hard_shoulder_w.svg,,
What is the minimum age for a Category B learner permit?,webq_46_what-is-the-minimum-age-for-a-category-b-learner-permit.png,commons,Lplate.svg,File:Lplate.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Lplate.svg/960px-Lplate.svg.png,https://commons.wikimedia.org/wiki/File:Lplate.svg,,
What must a learner driver display on the vehicle?,webq_47_what-must-a-learner-driver-display-on-the-vehicle.png,commons,Lplate.svg,File:Lplate.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Lplate.svg/960px-Lplate.svg.png,https://commons.wikimedia.org/wiki/File:Lplate.svg,,
Must a learner driver be accompanied?,webq_48_must-a-learner-driver-be-accompanied.jpg,openverse,driving lesson instructor car,Leo my car driving instructor (1),https://api.openverse.org/v1/images/21aaaf3d-4956-4c10-a120-6706bd7e3bd4/thumb/,https://www.flickr.com/photos/17997014@N00/415079389,TijsB,by-sa
What is the seatbelt rule in a car?,webq_49_what-is-the-seatbelt-rule-in-a-car.jpg,openverse,seat belt buckle car,Seat belt buckle car,https://api.openverse.org/v1/images/681ff017-68ef-466d-a084-ce91ebd5b373/thumb/,https://www.flickr.com/photos/194218872@N08/51578057035,Mechanic Base,by-nd
What is the normal penalty point disqualification threshold for most fully licensed drivers?,webq_50_what-is-the-normal-penalty-point-disqualification-threshold-for-most-fully-licen.jpg,openverse,warning traffic penalty points,Red Light Camera Fine $324: Welcome to the Police State,https://api.openverse.org/v1/images/c409ec0a-0f63-4284-a237-8713f87e6188/thumb/,https://www.flickr.com/photos/34120957@N04/4047291511,Alex E. Proimos,by-nc
What is the lower penalty point disqualification threshold for learner and novice drivers?,webq_51_what-is-the-lower-penalty-point-disqualification-threshold-for-learner-and-novic.jpg,openverse,warning traffic penalty points,Red Light Camera Fine $324: Welcome to the Police State,https://api.openverse.org/v1/images/c409ec0a-0f63-4284-a237-8713f87e6188/thumb/,https://www.flickr.com/photos/34120957@N04/4047291511,Alex E. Proimos,by-nc
What is the purpose of the NCT?,webq_52_what-is-the-purpose-of-the-nct.jpg,openverse,vehicle inspection garage,Tokyo Trams inspection car(Mercedes-Benz UNIMOG) / 都電(とでん)の応急作業車(おうきゅうさぎょうしゃ),https://api.openverse.org/v1/images/2b676ab1-1560-43a5-8190-808b572161db/thumb/,https://www.flickr.com/photos/13910409@N05/1679702617,TANAKA Juuyoh (田中十洋),by
Which lane should you normally use on a motorway?,webq_53_which-lane-should-you-normally-use-on-a-motorway.png,commons,motorway lanes traffic,File:Traffic Signs for Motorways - App 4 Figure 50.png,https://upload.wikimedia.org/wikipedia/commons/3/34/Traffic_Signs_for_Motorways_-_App_4_Figure_50.png,https://commons.wikimedia.org/wiki/File:Traffic_Signs_for_Motorways_-_App_4_Figure_50.png,,
What must you do when a school warden shows the STOP sign?,webq_54_what-must-you-do-when-a-school-warden-shows-the-stop-sign.png,commons,IE road sign RUS-032,File:IE road sign RUS-032.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/IE_road_sign_RUS-032.svg/960px-IE_road_sign_RUS-032.svg.png,https://commons.wikimedia.org/wiki/File:IE_road_sign_RUS-032.svg,,
What is the rule on mobile phones while driving?,webq_55_what-is-the-rule-on-mobile-phones-while-driving.jpg,openverse,hand held phone in car,Hand held phone in car (color balanced),https://api.openverse.org/v1/images/839a35f7-0a46-454b-87d3-803e26597695/thumb/,https://commons.wikimedia.org/w/index.php?curid=140652485,Ed Poor at English Wikipedia,by-sa
What position should you take for a right turn in a one-way street?,webq_56_what-position-should-you-take-for-a-right-turn-in-a-one-way-street.png,commons,one way road sign turn right,File:Argentina MSV 2017 road sign R-21(a).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Argentina_MSV_2017_road_sign_R-21%28a%29.svg/960px-Argentina_MSV_2017_road_sign_R-21%28a%29.svg.png,https://commons.wikimedia.org/wiki/File:Argentina_MSV_2017_road_sign_R-21(a).svg,,
Where would you never make a U-turn?,webq_57_where-would-you-never-make-a-u-turn.png,commons,no u-turn road sign,File:Japan road sign 313.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Japan_road_sign_313.svg/960px-Japan_road_sign_313.svg.png,https://commons.wikimedia.org/wiki/File:Japan_road_sign_313.svg,,
What should you look out for on country roads?,webq_58_what-should-you-look-out-for-on-country-roads.jpg,openverse,country road bend farm tractor,Dairy farm,https://api.openverse.org/v1/images/05c9a45e-48dc-4ee4-84f8-9e26b0b95260/thumb/,https://www.flickr.com/photos/61897811@N00/1305236031,Anita363,by-nc
"When following the road ahead on a multi-lane dual carriageway, which lane should you normally use?",webq_59_when-following-the-road-ahead-on-a-multi-lane-dual-carriageway-which-lane-should.jpg,commons,dual carriageway lane 1 left lane,"File:Olympic games traffic lane, Ruckholt Road E10 (7762262270).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Olympic_games_traffic_lane%2C_Ruckholt_Road_E10_%287762262270%29.jpg/960px-Olympic_games_traffic_lane%2C_Ruckholt_Road_E10_%287762262270%29.jpg,"https://commons.wikimedia.org/wiki/File:Olympic_games_traffic_lane,_Ruckholt_Road_E10_(7762262270).jpg",,
What is the difference between a with-flow and a contra-flow bus lane?,webq_60_what-is-the-difference-between-a-with-flow-and-a-contra-flow-bus-lane.png,commons,Ireland bus lane road sign,File:IE road sign F-362.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/IE_road_sign_F-362.svg/960px-IE_road_sign_F-362.svg.png,https://commons.wikimedia.org/wiki/File:IE_road_sign_F-362.svg,,
What is the difference between a pelican crossing and a zebra crossing?,webq_61_what-is-the-difference-between-a-pelican-crossing-and-a-zebra-crossing.jpg,openverse,pelican crossing zebra crossing,Now you see it - Endymion Road zebra crossing,https://api.openverse.org/v1/images/e3d397e4-67da-4d29-bc2a-2200f90e264c/thumb/,https://www.flickr.com/photos/53921762@N00/10815855825,Alan Stanton,cc0
What does an island in the middle of a pedestrian crossing mean?,webq_62_what-does-an-island-in-the-middle-of-a-pedestrian-crossing-mean.jpg,openverse,pedestrian refuge island crossing,Pedestrian crossing,https://api.openverse.org/v1/images/02de6f5c-cb5b-43cf-bc0c-0e7bc1b2cd05/thumb/,https://www.flickr.com/photos/75698896@N00/5103094022,Steven Vance,by-nc-sa
Name 3 secondary controls you may be asked to demonstrate on the test.,webq_63_name-3-secondary-controls-you-may-be-asked-to-demonstrate-on-the-test.jpg,openverse,car dashboard wiper controls,Pontiac G5 - Windshield Wiper Symbols,https://api.openverse.org/v1/images/2335fef2-159b-4843-9084-ed312cafa032/thumb/,https://www.flickr.com/photos/19714819@N00/1310405972,MarkDoliner,by-sa
Name 3 technical checks you should be able to describe for the test.,webq_64_name-3-technical-checks-you-should-be-able-to-describe-for-the-test.jpg,commons,car bonnet tyre check,File:An address delivered before the literary societies of Rutgers College (IA addressdelivered01junk).pdf,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/An_address_delivered_before_the_literary_societies_of_Rutgers_College_%28IA_addressdelivered01junk%29.pdf/page1-500px-An_address_delivered_before_the_literary_societies_of_Rutgers_College_%28IA_addressdelivered01junk%29.pdf.jpg,https://commons.wikimedia.org/wiki/File:An_address_delivered_before_the_literary_societies_of_Rutgers_College_(IA_addressdelivered01junk).pdf,,
"What is the alcohol limit for learner, novice, and professional drivers?",webq_65_what-is-the-alcohol-limit-for-learner-novice-and-professional-drivers.jpg,openverse,drink driving warning sign,New Zealand - Christchurch - Warning Signs,https://api.openverse.org/v1/images/866555ab-0d97-4149-918e-136efc71dc76/thumb/,https://www.flickr.com/photos/58472333@N00/5421378011,smileham,by-nc
What is the alcohol limit for most other drivers?,webq_66_what-is-the-alcohol-limit-for-most-other-drivers.jpg,openverse,drink driving warning sign,New Zealand - Christchurch - Warning Signs,https://api.openverse.org/v1/images/866555ab-0d97-4149-918e-136efc71dc76/thumb/,https://www.flickr.com/photos/58472333@N00/5421378011,smileham,by-nc
What should you do before opening your car door?,webq_67_what-should-you-do-before-opening-your-car-door.jpg,openverse,dutch reach car door cyclist,Day 364 - Dutch Reach,https://api.openverse.org/v1/images/ca5578e7-7d38-4e22-aa83-5d7107c1f13d/thumb/,https://www.flickr.com/photos/12917962@N00/51786786157,Menage a Moi,by-sa
What should you do if you break down on a motorway?,webq_68_what-should-you-do-if-you-break-down-on-a-motorway.jpg,openverse,broken down car motorway hard shoulder,Broken down car,https://api.openverse.org/v1/images/a4146e9b-9a1c-4ded-a005-98307fb2a962/thumb/,https://www.flickr.com/photos/86429182@N00/171181235,Catfunt,by-nc-sa
